ZBTB40	ZBTB40
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
KDM1A	KDM1A
LUZP1	LUZP1
RP5-1057J7.6	RP5-1057J7.6
HNRNPR	HNRNPR
ZNF436	ZNF436
C1orf213	C1orf213
TCEA3	TCEA3
E2F2	E2F2
ID3	ID3
MDS2	MDS2
RPL11	RPL11
TCEB3	TCEB3
RP5-886K2.3	RP5-886K2.3
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
PNRC2	PNRC2
SRSF10	SRSF10
IFNLR1	IFNLR1
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3	RCAN3
RP4-594I10.3	RP4-594I10.3
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
SYF2	SYF2
C1orf63	C1orf63
RP3-465N24.6	RP3-465N24.6
TMEM50A	TMEM50A
TMEM57	TMEM57
LDLRAP1	LDLRAP1
RP11-70P17.1	RP11-70P17.1
MAN1C1	MAN1C1
RP1-187B23.1	RP1-187B23.1
SEPN1	SEPN1
RP1-317E23.3	RP1-317E23.3
MTFR1L	MTFR1L
AL020996.1	AL020996.1
PAQR7	PAQR7
STMN1	STMN1
PAFAH2	PAFAH2
PDIK1L	PDIK1L
ZNF593	ZNF593
CNKSR1	CNKSR1
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
AIM1L	AIM1L
ZNF683	ZNF683
DHDDS	DHDDS
HMGN2	HMGN2
RPS6KA1	RPS6KA1
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
C1orf172	C1orf172
TRNP1	TRNP1
SLC9A1	SLC9A1
WDTC1	WDTC1
TMEM222	TMEM222
SYTL1	SYTL1
MAP3K6	MAP3K6
WASF2	WASF2
RP1-159A19.4	RP1-159A19.4
AHDC1	AHDC1
FGR	FGR
IFI6	IFI6
FAM76A	FAM76A
STX12	STX12
PPP1R8	PPP1R8
THEMIS2	THEMIS2
RPA2	RPA2
XKR8	XKR8
EYA3	EYA3
PTAFR	PTAFR
DNAJC8	DNAJC8
AL353354.2	AL353354.2
ATPIF1	ATPIF1
RP5-1092A3.4	RP5-1092A3.4
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RCC1	RCC1
TRNAU1AP	TRNAU1AP
SNHG12	SNHG12
TAF12	TAF12
RP11-442N24--B.1	RP11-442N24--B.1
RNU11	RNU11
GMEB1	GMEB1
YTHDF2	YTHDF2
EPB41	EPB41
TMEM200B	TMEM200B
SRSF4	SRSF4
MECR	MECR
MATN1	MATN1
MATN1-AS1	MATN1-AS1
LAPTM5	LAPTM5
PUM1	PUM1
SNRNP40	SNRNP40
ZCCHC17	ZCCHC17
SERINC2	SERINC2
PEF1	PEF1
SPOCD1	SPOCD1
PTP4A2	PTP4A2
KHDRBS1	KHDRBS1
TMEM39B	TMEM39B
KPNA6	KPNA6
TXLNA	TXLNA
CCDC28B	CCDC28B
TMEM234	TMEM234
EIF3I	EIF3I
FAM167B	FAM167B
LCK	LCK
HDAC1	HDAC1
MARCKSL1	MARCKSL1
FAM229A	FAM229A
BSDC1	BSDC1
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
YARS	YARS
S100PBP	S100PBP
RNF19B	RNF19B
AK2	AK2
ADC	ADC
TRIM62	TRIM62
ZNF362	ZNF362
PHC2	PHC2
SMIM12	SMIM12
DLGAP3	DLGAP3
RP11-244H3.4	RP11-244H3.4
ZMYM6NB	ZMYM6NB
ZMYM6	ZMYM6
ZMYM1	ZMYM1
SFPQ	SFPQ
ZMYM4	ZMYM4
KIAA0319L	KIAA0319L
NCDN	NCDN
RP4-728D4.2	RP4-728D4.2
TFAP2E	TFAP2E
PSMB2	PSMB2
C1orf216	C1orf216
CLSPN	CLSPN
AGO4	AGO4
AGO1	AGO1
RP4-789D17.5	RP4-789D17.5
AGO3	AGO3
ADPRHL2	ADPRHL2
TRAPPC3	TRAPPC3
MAP7D1	MAP7D1
THRAP3	THRAP3
